关键词,职位,薪资,城市,公司,经验,学历,所属专业,公司规模,在招职位数,职位描述
护理,养老院社区招护理员8000+,8-12K,北京,北京和顺亿家家政服务,经验不限,学历不限,护理专业,0-20人,97,
护理,养老院招护理员（不限经验）,10-14K,北京,宝贝多多家政服务,经验不限,学历不限,护理专业,0-20人,28,"白班！白班！白班重要的事情说三遍
朝九晚六 ，上班时间灵活自由，工作简单轻松
年龄要求：24~50岁，符合要求的可以直接投递简历！！！
养老护工任职资格：
1）年龄22-55周岁之间,身体健康、无不良嗜好。
2）具备基本的读写能力,沟通能力良好,普通话较为标准。
3）有意愿从事养老行业，有爱心，讲奉献的人员。"
护理,干休所护理员,8-10K,北京,鑫乐美家庭服务,经验不限,学历不限,护理专业,20-99人,10,
护理,急招养老护理员,10-12K,北京,北京家服科技有限公司,经验不限,学历不限,智慧健康养老服务与管理专业,20-99人,108,
护理,养老院社区招护理员阿姨,8-10K,北京,成联培,经验不限,学历不限,护理专业,20-99人,8,
护理,国企养老院招护理员（不限经验）,7-12K,北京,北京重阳家政服务...,经验不限,学历不限,护理专业,0-20人,10,"25到55岁
养老护理员工作内容：
1）生活照料：1.穿、脱衣物照料2.身体清洁3.居家环境整理4.日常膳食
2）基础护理：1.老年人健康状况的观察2.血压、体温、脉搏、呼吸的观察3.日常血糖监测
3）常见疾病护理：1.十大常见疾病护理（肿瘤疾病、高血压、冠心病、糖尿病、脑中风、骨关节疾病、白内障、阿尔斯海默症、老年性耳鸣耳聋、老年性瘙痒症）.
4）康复护理：1.肿瘤疾病并发症，骨关节疾病，心脑血管疾病2.有氧运动、无氧运动、康复运动
5）心理护理：1.阿尔斯海默症、老年性的焦虑症、抑郁症、生活常见心里问题2.适合老年人日常文娱活动
6）临终关怀：1.老年人照护文件的书写2.老年人临终的照护3.尸体料理及终末消毒
7）营养护理：1.营养搭配、进食方式、碳、糖、盐、醇的控制
8）情绪疏导：1.老年人常见的不良情绪2.老年人心理问题的疏导
9）危重病观察与护理：1.危重病观察与护理专业知识2.危重病观察与护理操作技能
10）急救：1.急救专业知识2.急救操作技能"
护理,8800养老院急招大量护理员,7-12K,北京,北京溶海科技有限公司,经验不限,学历不限,护理专业,0-20人,46,
护理,8000招白班养老护理员阿姨,9-14K,北京,北京兰洁保洁,经验不限,学历不限,智慧健康养老服务与管理专业,20-99人,58,
护理,国企养老院招护理员（不限经验）,7-12K,北京,北京凯诺睿麟科技,经验不限,学历不限,护理专业,0-20人,11,
护理,养老院社区招护理员,8-10K,北京,盛世家宝,经验不限,学历不限,护理专业,20-99人,19,
护理,天津大型养老院招聘护工，护理员,5-7K,北京,北京延年益寿健康科技,经验不限,学历不限,护理专业,100-499人,41,
护理,高奢月子中心母婴护理师,12-24K,北京,和到家,经验不限,学历不限,护理专业,20-99人,27,
护理,北京高端养老院零基础招养老护理员9500+,9-13K,北京,丰和艺佳,经验不限,学历不限,智慧健康养老服务与管理专业,0-20人,41,
护理,医疗护理员,7-12K,北京,月下余白商贸有限公司,经验不限,学历不限,护理专业,0-20人,35,
护理,招聘养老护理员不看学历,7-9K,北京,尚乐居家政,经验不限,学历不限,智慧健康养老服务与管理专业,20-99人,7,
护理,急招一名护理员，照顾独居老人。,7-8K,北京,北京静远佳业环境...,经验不限,学历不限,护理专业,500-999人,32,
护理,彩虹护理师,15-30K,北京,盘龙区光河养生保...,经验不限,学历不限,护理专业,20-99人,2,
护理,头皮护理师,8-10K,北京,星工场护肤造型,经验不限,学历不限,护理专业,,,
护理,高端疗养中心护理员招聘，经验不限12000,9-12K,北京,生活管家健康管理,经验不限,学历不限,护理专业,100-499人,36,
护理,干休所护理员,6-8K,北京,北京臻爱护老健康...,经验不限,学历不限,护理专业,20-99人,3,
护理,月薪15800母婴护理师月嫂照顾宝宝,11-16K,北京,美护佳儿,经验不限,初中及以下,护理专业,100-499人,22,"1.照顾宝宝
2.身心健康，有爱心责任心，亲和力好
3.年龄27-50岁
4.初中或以上学历"
护理,国企疗养院急招护理员  双休,5-8K,北京,北京斓馨家政有限公司,经验不限,学历不限,护理专业,20-99人,111,
护理,老干部退休中心急要养老护理员6000-8000,8-10K,北京,北京馨安家政服务,经验不限,学历不限,智慧健康养老服务与管理专业,0-20人,4,
护理,干休所护理员,8-12K,北京,七心云科技,经验不限,学历不限,护理专业,20-99人,3,
护理,招养老护理员七千可小白,7-12K,北京,北京鲸华家庭服务,经验不限,学历不限,智慧健康养老服务与管理专业,100-499人,104,
护理,丰台区养老护理员,6-9K,北京,北京好运生活家政服务,经验不限,学历不限,智慧健康养老服务与管理专业,20-99人,6,
护理,护理员,7-8K,北京,北京孝馨鸿润养老服务,1-3年,初中及以下,护理专业,0-20人,4,
护理,国企养老院招护工、养老护理员五险一金,7-9K,北京,悦来家福,经验不限,学历不限,智慧健康养老服务与管理专业,0-20人,9,"养老护理员工作内容：
1）生活照料：1.穿、脱衣物照料2.身体清洁3.居家环境整理4.日常膳食
2）基础护理：1.老年人健康状况的观察2.血压、体温、脉搏、呼吸的观察3.日常血糖监测
3）常见疾病护理：1.十大常见疾病护理（肿瘤疾病、高血压、冠心病、糖尿病、脑中风、骨关节疾病、白内障、阿尔斯海默症、老年性耳鸣耳聋、老年性瘙痒症）
4）康复护理：1.肿瘤疾病并发症，骨关节疾病，心脑血管疾病2.有氧运动、无氧运动、康复运动
5）心理护理：1.阿尔斯海默症、老年性的焦虑症、抑郁症、生活常见心里问题2.适合老年人日常文娱活动
6）临终关怀：1.老年人照护文件的书写2.老年人临终的照护
7）营养护理：1.营养搭配、进食方式、碳、糖、盐、醇的控制
8）情绪疏导：1.老年人常见的不良情绪2.老年人心理问题的疏导
9）危重病观察与护理：1.危重病观察与护理专业知识2.危重病观察与护理操作技能
10）急救：1.急救专业知识2.急救操作技能"
护理,薪资7000急招养老护理员/护工,8-13K,北京,北倍家政,1-3年,初中及以下,智慧健康养老服务与管理专业,0-20人,10,"职位描述
（一）工作内容
1、老人、病人生活照料：
（1）穿、脱衣物照料
（2）身体清洁
（3）居家环境整理.
（4）日常膳食
2、基础护理：
（1）老年人健康状况的观察
（2）血压、体温、脉搏、呼吸的观察
（3）日常血糖监测
3、常见疾病护理：
十大常见疾病护理（肿瘤疾病、高血压、冠心病、糖尿病、脑中风、骨关节疾病、白内障、阿尔斯海默症、老年性耳鸣耳聋、老年性瘙痒症）
4、康复护理：
（1）肿瘤疾病并发症，骨关节疾病，心脑血管疾病
（2）有氧运动、无氧运动、康复运动
5、心理护理：
（1）阿尔斯海默症、老年性的焦虑症、抑郁症、生活常见心里问题
（2）适合老年人日常文娱活动
6、临终关怀：1
（1）老年人照护文件的书写
（2）老年人临终的照护
（3）尸体料理及终末消毒
7、营养护理：营养搭配、进食方式、碳、糖、盐、醇的控制
8、情绪疏导：
（1）老年人常见的不良情绪
（2）老年人心理问题的疏导
9、危重病观察与护理：
（1）危重病观察与护理专业知识
（2）危重病观察与护理操作技能
10、急救：
（1）急救专业知识
（2）急救操作技能"
护理,高薪急聘母婴护理师1.5W+,9-13K,北京,北京万顺恒通家政...,经验不限,学历不限,护理专业,500-999人,10,"招25岁—52阿姨！岗位招聘人数有限，请尽快投递！
我们将第一时间联系您沟通工作内容以及薪资待遇。
本公司岗位无需重复投递！
“报名后可获得该职位的就业机会”
对于学历、年龄、长相无任何要求，却能挣高薪的新兴行业，相信您一定会有所改变。
打造全方位高级母婴护理师、育婴师、催乳师、小儿推拿师、产后修复师，用真心、爱心、责任心服务好每个家庭。
招聘岗位:月嫂、育婴师、产后修复师、催乳师
招聘要求:
1、年龄要求52以内的阿姨
2、身体健康，无不良嗜好;
3、热爱母婴行业喜欢小宝宝，做事有责任心""
9000-13000
"
护理,养老护理员（提供住宿+员工食堂）,7-10K,北京,吉星生活,经验不限,学历不限,智慧健康养老服务与管理专业,20-99人,6,
护理,宝宝护理员,11-12K,北京,晓龙家政服务(北京),经验不限,学历不限,护理专业,0-20人,26,
护理,养老护理员,5-7K,北京,寿山福海集团,1-3年,初中及以下,智慧健康养老服务与管理专业,100-499人,34,"工作职责
1、做好入住前准备和离住后床单位及居室整理以及终末消毒工作，做好室内被服、家俱及老年人的物品清点、管理；
2、负责为不能自理、半自理老人按级别提供相应的服务；
3、负责责任区老人房间卫生清洁、物品整理工作；
4、负责老人的饮食、起居、排泄、身体清洁；
任职资格
1、初中及以上学历，1年以上相关工作经验；
2、有耐心、责任心，热爱老年事业，认真负责；
3、身体健康，无不良嗜好；"
护理,干休所招聘护理员，薪资6000--10000，五险,6-10K,北京,北京美宜管家信息...,经验不限,学历不限,护理专业,20-99人,1,
护理,养老护理员日薪200+，包吃住 轻松月入7k+,6-8K,北京,长沙美鹅臻享家政,经验不限,学历不限,智慧健康养老服务与管理专业,10000人以上,309,
护理,养老院社区招护理员,7-9K,北京,北京灿岚家政服务...,经验不限,学历不限,护理专业,0-20人,2,
护理,招面部护理师包吃包住薪资一万包吃住,10-12K,北京,北京肌源光年美容,经验不限,学历不限,护理专业,100-499人,2,
护理,急招三甲医院护工、干休所护理员,5-12K,北京,北京中享家政,经验不限,初中及以下,护理专业,20-99人,11,
护理,养老护理员,3-6K,北京,知护养老,1年以内,高中,智慧健康养老服务与管理专业,20-99人,17,
护理,养老护理员,6-10K,北京,北京欣安家政有限公司,经验不限,学历不限,智慧健康养老服务与管理专业,20-99人,2,
护理,9800护理员,7-9K,北京,福胜家政,经验不限,学历不限,护理专业,20-99人,133,
护理,高级母婴护理师,9-14K,北京,元满母婴,3-5年,高中,护理专业,20-99人,41,"岗位职责
1. 根据客户分娩信息，做好入院陪护的准备工作；
2. 协助产妇缓解疲劳、会阴冲洗，指导喂养宝宝等，关注情绪有异常情况及时通知护士；
3.照顾宝宝的日常起居，包括喂奶、衣物清洗、更换纸尿裤等，异常情况及时通知护士；
4.保持房间卫生和房间内物品摆放整齐；
5.客户出月子中心时，协助客户整理物品，确保无遗漏。
任职要求
1. 高中及以上学历，三年以上婴幼儿护理经验；
2. 普通话熟练，有母婴专护师资格证书；
3. 熟悉感染控制相关要求，熟练掌握母婴护理专业知识及操作技能，能够理解产后后康复的基本知识相关规定；
4. 工作积极主动、认真、踏实，具有良好的协调能力和亲和力，具有良好的沟通及协调能力。"
护理,居家养老护理员,5-10K,北京,精心康护,1-3年,学历不限,智慧健康养老服务与管理专业,100-499人,3,
护理,北京月子中心，母婴护理师招聘,8-13K,北京,贝康国际,经验不限,中专/中技,护理专业,1000-9999人,201,"1.负责产妇、新生儿日常护理及护理观察，并进行详细的记录；
2.负责对产妇及家属进行婴儿日常护理示教；
3.掌握扎实的护理知识，熟练掌握护理操作技术；
任职要求：
1. 中专及以上学历，具有岗位相关的职业资格证，接受应届毕业生
2. 年龄20-50岁，形象气质佳，性格阳光谦虚，富有爱心和责任心，喜爱母婴护理事业，具备良好的素质及道德修养
3. 有处理突发事件的能力和熟练的急救技能
4. 有良好的沟通协调能力与服务意识"
护理,急聘母婴护理师万元起,10-15K,北京,亿婴宝母婴服务,经验不限,学历不限,护理专业,100-499人,5,
护理,急聘新手月嫂母婴护理师,10-14K,北京,北京和顺康家政,经验不限,学历不限,护理专业,0-20人,32,
护理,私处护理师,15-20K,北京,北京蜜私蜜技术服务,1-3年,学历不限,护理专业,20-99人,5,
护理,丝域养发护理师,7-12K,北京,北京真琪喵企业管理,1-3年,学历不限,护理专业,100-499人,1,
护理,头皮护理师/美容师 8-15k 包吃住,8-13K,北京,妆和健康,经验不限,中专/中技,护理专业,20-99人,5,
护理,部队医院整形医院高端养老院护理员,7-11K,北京,北京濡意信息技术公司,经验不限,学历不限,智慧健康养老服务与管理专业,20-99人,4,
护理,护工/护理员主管(养老院),5-6K,北京,椿萱茂康养,经验不限,学历不限,护理专业,10000人以上,93,
护理,养老护理员,6-9K,北京,北京六六家政服务,经验不限,学历不限,智慧健康养老服务与管理专业,0-20人,3,
护理,高端疗养院急聘护理员9000-13000可新手,8-12K,北京,北京好药师康信堂医药,经验不限,学历不限,护理专业,20-99人,22,
护理,在校招聘护理师,5-10K,北京,北京慈耀国际中医...,在校/应届,大专,护理专业,100-499人,2,
护理,五星级养老院招聘养老护理员 接受新手,5-8K,北京,惠缘家政,经验不限,学历不限,智慧健康养老服务与管理专业,0-20人,13,
护理,养老护理员,6-10K,北京,北京金圣好家政服...,经验不限,学历不限,智慧健康养老服务与管理专业,20-99人,6,"岗位职责:
1.为老年人提供日常生活照料，包括但不限于帮助他们洗澡、更换尿布等。
2.监测老年人的健康状况，及时报告任何异常，并协助处理紧急情况。
3.维持工作区域的清洁和卫生，确保提供安全的环境。
4.执行公司制定的护理标准和程序，确保高质量的服务。

任职要求：
1.具有高度的服务意识和责任心，能够关注客户的需求和健康。
2.能够在压力下保持积极的工作态度，适应弹性工作时间。
3.具备团队合作精神，能与同事协作完成任务。
4.有相关工作经验者优先，能够熟练掌握基本的护理技能。
"
护理,养老院直招护理员,4-6K,北京,圣泽峰,经验不限,学历不限,护理专业,20-99人,4,
护理,7000-12000诚聘养老护理员,7-12K,北京,北京匠多多科技服务,经验不限,学历不限,智慧健康养老服务与管理专业,20-99人,18,
护理,养老护理员,5-6K,北京,北京同仁堂同悦养老,1-3年,初中及以下,智慧健康养老服务与管理专业,0-20人,4,
护理,丝域养发护理师,6-9K,北京,北京扶摇万缕企业...,经验不限,学历不限,护理专业,0-20人,1,
护理,急聘养老护理员,7-12K,北京,北京冠领智家教育科技,经验不限,学历不限,智慧健康养老服务与管理专业,20-99人,25,
护理,养老护理员,7-12K,北京,北京育方健康管理,1-3年,学历不限,智慧健康养老服务与管理专业,0-20人,8,
护理,12000聘请头皮护理师,10-12K,北京,北京汐妍国际,1-3年,学历不限,护理专业,0-20人,4,
护理,护理员,7-8K,北京,北京长者友善养老...,3-5年,高中,护理专业,100-499人,6,
护理,头皮护理师,10-15K,北京,劲松港汇,经验不限,学历不限,护理专业,10000人以上,1,
护理,头皮护理师,8-12K,北京,品色形象,3-5年,大专,护理专业,,,
护理,母婴护理师【零基础有人带】,9-14K,北京,北京市运佳佳家政服务,经验不限,学历不限,护理专业,20-99人,83,
护理,居家养老护理员,5-6K,北京,天宫院养老照料中心,1-3年,初中及以下,智慧健康养老服务与管理专业,0-20人,5,
护理,养老院直聘护理员-五险一金包食宿,5-8K,北京,幸福里养老中心,经验不限,中专/中技,护理专业,100-499人,6,
护理,8900养老护理员,6-9K,北京,星喵国际家政服务,经验不限,学历不限,智慧健康养老服务与管理专业,20-99人,10,
护理,护理员,6-11K,北京,太阳宫老年公寓,1-3年,学历不限,护理专业,100-499人,8,
护理,头皮护理师,12-24K,北京,北京琳凡皙化妆品销售,1-3年,学历不限,护理专业,100-499人,1,
护理,招聘做月子餐辅食母婴护理师可新手,10-12K,北京,北京美丽家政服务...,经验不限,学历不限,护理专业,0-20人,16,
护理,北京养老护理员,5-6K,北京,小橙养老,经验不限,学历不限,智慧健康养老服务与管理专业,500-999人,85,
护理,养老护理师,7-12K,北京,合力艺佳家政,经验不限,学历不限,智慧健康养老服务与管理专业,0-20人,6,
护理,干休所疗养院护理员待遇好,7-12K,北京,北京咱家行家政服务,经验不限,高中,护理专业,20-99人,2,
护理,养老护理员,5-6K,北京,亦和居,1-3年,初中及以下,智慧健康养老服务与管理专业,100-499人,2,
护理,养老护理员,6-9K,北京,北京天华德沣生活服务,经验不限,初中及以下,智慧健康养老服务与管理专业,20-99人,3,
护理,养老护理员,14-18K,北京,北京乐益佳家政,经验不限,大专,智慧健康养老服务与管理专业,100-499人,2,
护理,头皮护理师,6-8K,北京,洗个头发,1-3年,学历不限,护理专业,0-20人,1,
护理,诚聘养老护理员，接受新手,5-8K,北京,北京爱之缘家政,经验不限,学历不限,智慧健康养老服务与管理专业,20-99人,11,
护理,初、中、高级护理师,8-12K,北京,北京芊丝羽企业管理,1-3年,学历不限,护理专业,0-20人,2,
护理,长护险护理员,5-9K,北京,千家日月,经验不限,学历不限,护理专业,0-20人,1,
护理,【北京】到家宠物护理员,50-60元/时,北京,上海萌宠在家家庭服务,1-3年,学历不限,护理专业,100-499人,15,
护理,高端养老护理员,6-8K,北京,北京易家美家政,1年以内,学历不限,智慧健康养老服务与管理专业,20-99人,40,
护理,养老护理员,5-6K,北京,北京时光智友科技发展,1年以内,学历不限,智慧健康养老服务与管理专业,20-99人,1,
护理,头皮护理师,4-8K,北京,北京羽秀美发中心...,经验不限,学历不限,护理专业,0-20人,2,
护理,居家一对一护理员10095,5-6K,北京,乐成集团,经验不限,学历不限,护理专业,1000-9999人,55,
护理,丝域养发护理师,6-11K,北京,中烨奕媛,1-3年,学历不限,护理专业,0-20人,1,
护理,丝域资深店长、丝域养发护理师,5-10K,北京,北京新丝纪科技,经验不限,学历不限,护理专业,0-20人,1,
护理,养老护理员,8-10K,北京,北京鲸洁家政服务,经验不限,学历不限,智慧健康养老服务与管理专业,0-20人,2,
护理,妇幼医院招聘母婴护理师1w,12-24K,北京,北京茂康信息技术咨询,经验不限,学历不限,护理专业,0-20人,9,
护理,母婴护理师,10-15K,北京,爱贝宫,1-3年,学历不限,护理专业,100-499人,6,
护理,高端养老机构急招护理员,5-7K,北京,悠享生活家政,经验不限,初中及以下,智慧健康养老服务与管理专业,20-99人,19,
护理,高端月子中心招护理员    可新手,11-22K,北京,北京茉莉家家政服务,经验不限,学历不限,护理专业,100-499人,13,
护理,养老护理员,5-6K,北京,北京市海淀区田村...,经验不限,初中及以下,智慧健康养老服务与管理专业,20-99人,2,
护理,护理总监,23-30K,北京,北京某大型医疗服务公司,经验不限,本科,护理专业,,,
护理,妇幼医院招聘母婴护理师1w,9-14K,北京,优乐佳家政,经验不限,学历不限,护理专业,20-99人,91,"有无经验都没有问题，只要你踏实肯干，身体健康，有基本的素质素养，均迅速安排工作。
月嫂的工作内容：
1、负责护理产妇、新生儿
2、负责产妇及新生儿日常起居
3、负责产妇、婴儿用品、宝宝奶具的清洗和消毒
4、负责月子餐和家庭用餐的制作
5、负责部分家务清洁工作
职位要求：
任职资格：
1、身体健康，年龄25-50岁；
2、有相关工作经验者优先考虑。无经验者也可报名。"
